  -4.000    0.000
  -3.724    0.000
  -3.448    0.000
  -3.172    0.000
  -2.897    0.001
  -2.621    0.002
  -2.345    0.002
  -2.069    0.004
  -1.793    0.010
  -1.517    0.029
  -1.241    0.062
  -0.966    0.085
  -0.690    0.105
  -0.414    0.122
  -0.138    0.127
   0.138    0.118
   0.414    0.095
   0.690    0.064
   0.966    0.044
   1.241    0.034
   1.517    0.028
   1.793    0.021
   2.069    0.014
   2.345    0.009
   2.621    0.007
   2.897    0.006
   3.172    0.005
   3.448    0.003
   3.724    0.002
   4.000    0.000
