  -4.000    0.181
  -3.900    0.205
  -3.800    0.233
  -3.700    0.265
  -3.600    0.302
  -3.500    0.343
  -3.400    0.390
  -3.300    0.444
  -3.200    0.505
  -3.100    0.573
  -3.000    0.650
  -2.900    0.736
  -2.800    0.832
  -2.700    0.936
  -2.600    1.049
  -2.500    1.168
  -2.400    1.291
  -2.300    1.414
  -2.200    1.531
  -2.100    1.638
  -2.000    1.728
  -1.900    1.795
  -1.800    1.836
  -1.700    1.849
  -1.600    1.833
  -1.500    1.791
  -1.400    1.729
  -1.300    1.652
  -1.200    1.566
  -1.100    1.476
  -1.000    1.388
  -0.900    1.304
  -0.800    1.228
  -0.700    1.161
  -0.600    1.102
  -0.500    1.053
  -0.400    1.012
  -0.300    0.979
  -0.200    0.953
  -0.100    0.935
   0.000    0.922
   0.100    0.916
   0.200    0.914
   0.300    0.917
   0.400    0.924
   0.500    0.931
   0.600    0.938
   0.700    0.938
   0.800    0.927
   0.900    0.897
   1.000    0.841
   1.100    0.749
   1.200    0.618
   1.300    0.452
   1.400    0.269
   1.500    0.107
   1.600    0.011
   1.700    0.017
   1.800    0.123
   1.900    0.290
   2.000    0.472
   2.100    0.635
   2.200    0.761
   2.300    0.849
   2.400    0.902
   2.500    0.929
   2.600    0.938
   2.700    0.937
   2.800    0.931
   2.900    0.923
   3.000    0.917
   3.100    0.914
   3.200    0.916
   3.300    0.924
   3.400    0.937
   3.500    0.956
   3.600    0.982
   3.700    1.016
   3.800    1.058
   3.900    1.108
   4.000    1.168
