 1   53    0.000   -1.508    2.094    2.306    1.127    0.000    2.616    1.996
 2   53    0.000   -1.117    2.660    2.667    1.105    0.000    2.970    2.363
 3   53    0.000   -0.884    2.679    2.868    1.069    0.000    3.161    2.574
 4   53    0.000   -0.670    2.925    3.041    1.031    0.000    3.324    2.757
 5   52    0.000   -0.507    3.173    3.164    1.001    0.000    3.442    2.886
 6   52    0.000   -0.381    3.519    3.256    0.978    0.000    3.527    2.984
 7   52    0.000   -0.240    3.192    3.353    0.953    0.000    3.617    3.088
 8   52    0.000   -0.088    3.538    3.452    0.928    0.000    3.710    3.195
 9   52    0.000    0.051    3.615    3.539    0.905    0.000    3.790    3.288
10   52    0.000    0.190    3.654    3.623    0.884    0.000    3.869    3.378
11   52    0.000    0.348    3.673    3.715    0.862    0.000    3.954    3.476
12   52    0.000    0.547    3.865    3.825    0.835    0.000    4.056    3.593
13   52    0.000    0.876    3.981    3.995    0.793    0.000    4.215    3.775
14   52    0.000    1.330    4.250    4.207    0.733    0.000    4.410    4.003
15   52    0.000    2.142    4.442    4.417    0.651    0.000    4.597    4.236
