  -4.000    0.108
  -3.900    0.121
  -3.800    0.136
  -3.700    0.153
  -3.600    0.172
  -3.500    0.194
  -3.400    0.218
  -3.300    0.246
  -3.200    0.277
  -3.100    0.313
  -3.000    0.353
  -2.900    0.399
  -2.800    0.450
  -2.700    0.509
  -2.600    0.575
  -2.500    0.649
  -2.400    0.731
  -2.300    0.823
  -2.200    0.924
  -2.100    1.035
  -2.000    1.154
  -1.900    1.282
  -1.800    1.417
  -1.700    1.558
  -1.600    1.703
  -1.500    1.849
  -1.400    1.996
  -1.300    2.141
  -1.200    2.283
  -1.100    2.420
  -1.000    2.551
  -0.900    2.676
  -0.800    2.795
  -0.700    2.908
  -0.600    3.014
  -0.500    3.115
  -0.400    3.211
  -0.300    3.302
  -0.200    3.388
  -0.100    3.472
   0.000    3.552
   0.100    3.629
   0.200    3.704
   0.300    3.777
   0.400    3.848
   0.500    3.917
   0.600    3.985
   0.700    4.050
   0.800    4.113
   0.900    4.172
   1.000    4.227
   1.100    4.277
   1.200    4.319
   1.300    4.352
   1.400    4.376
   1.500    4.389
   1.600    4.391
   1.700    4.381
   1.800    4.360
   1.900    4.329
   2.000    4.290
   2.100    4.242
   2.200    4.189
   2.300    4.131
   2.400    4.069
   2.500    4.004
   2.600    3.937
   2.700    3.868
   2.800    3.798
   2.900    3.725
   3.000    3.651
   3.100    3.574
   3.200    3.495
   3.300    3.413
   3.400    3.327
   3.500    3.238
   3.600    3.143
   3.700    3.044
   3.800    2.939
   3.900    2.829
   4.000    2.712
