 1   53    0.000   -1.508    1.264    1.530    1.184    0.000    1.855    1.204
 2   53    0.000   -1.117    1.906    1.829    1.232    0.000    2.168    1.491
 3   53    0.000   -0.884    2.132    2.022    1.241    0.000    2.363    1.681
 4   53    0.000   -0.670    1.943    2.202    1.241    0.000    2.543    1.861
 5   52    0.000   -0.507    2.423    2.338    1.234    0.000    2.681    1.996
 6   52    0.000   -0.381    2.288    2.444    1.227    0.000    2.784    2.103
 7   52    0.000   -0.240    2.827    2.559    1.216    0.000    2.897    2.222
 8   52    0.000   -0.088    2.692    2.682    1.201    0.000    3.015    2.349
 9   52    0.000    0.051    2.846    2.792    1.186    0.000    3.121    2.463
10   52    0.000    0.190    2.846    2.901    1.169    0.000    3.226    2.577
11   52    0.000    0.348    3.250    3.022    1.149    0.000    3.340    2.703
12   52    0.000    0.547    2.981    3.169    1.122    0.000    3.480    2.858
13   52    0.000    0.876    3.135    3.400    1.071    0.000    3.697    3.103
14   52    0.000    1.330    3.788    3.683    0.991    0.000    3.958    3.408
15   52    0.000    2.142    3.942    3.866    0.920    0.000    4.121    3.611
