 1   53    0.000   -1.508    2.868    2.897    1.173    0.000    3.219    2.574
 2   53    0.000   -1.117    3.094    3.043    1.128    0.000    3.353    2.733
 3   53    0.000   -0.884    3.038    3.086    1.110    0.000    3.391    2.781
 4   53    0.000   -0.670    2.906    3.098    1.105    0.000    3.401    2.794
 5   52    0.000   -0.507    3.154    3.089    1.109    0.000    3.396    2.781
 6   52    0.000   -0.381    3.019    3.070    1.117    0.000    3.380    2.760
 7   52    0.000   -0.240    3.154    3.039    1.130    0.000    3.352    2.725
 8   52    0.000   -0.088    3.250    2.994    1.147    0.000    3.312    2.675
 9   52    0.000    0.051    3.096    2.944    1.165    0.000    3.267    2.621
10   52    0.000    0.190    2.827    2.886    1.182    0.000    3.214    2.558
11   52    0.000    0.348    2.673    2.814    1.202    0.000    3.148    2.481
12   52    0.000    0.547    2.788    2.716    1.224    0.000    3.055    2.376
13   52    0.000    0.876    2.500    2.542    1.252    0.000    2.889    2.194
14   52    0.000    1.330    2.288    2.295    1.271    0.000    2.647    1.942
15   52    0.000    2.142    1.558    1.878    1.244    0.000    2.223    1.533
