  -4.000    0.642   0.236   0.084   0.035   0.003   0.000
  -3.900    0.618   0.244   0.093   0.041   0.004   0.000
  -3.800    0.592   0.251   0.103   0.049   0.005   0.000
  -3.700    0.566   0.258   0.113   0.058   0.006   0.000
  -3.600    0.538   0.263   0.124   0.068   0.007   0.000
  -3.500    0.509   0.267   0.135   0.079   0.009   0.000
  -3.400    0.479   0.270   0.147   0.092   0.011   0.000
  -3.300    0.449   0.271   0.158   0.107   0.014   0.000
  -3.200    0.417   0.271   0.170   0.123   0.018   0.001
  -3.100    0.386   0.269   0.181   0.141   0.022   0.001
  -3.000    0.355   0.266   0.192   0.160   0.027   0.001
  -2.900    0.324   0.260   0.202   0.181   0.032   0.001
  -2.800    0.293   0.253   0.210   0.203   0.039   0.002
  -2.700    0.264   0.244   0.218   0.226   0.046   0.002
  -2.600    0.235   0.234   0.224   0.249   0.055   0.003
  -2.500    0.208   0.222   0.229   0.273   0.064   0.003
  -2.400    0.183   0.210   0.232   0.297   0.075   0.004
  -2.300    0.159   0.196   0.233   0.320   0.087   0.005
  -2.200    0.138   0.182   0.232   0.342   0.100   0.006
  -2.100    0.118   0.168   0.229   0.363   0.114   0.008
  -2.000    0.101   0.153   0.225   0.383   0.129   0.010
  -1.900    0.085   0.139   0.219   0.401   0.144   0.012
  -1.800    0.071   0.125   0.212   0.416   0.161   0.014
  -1.700    0.060   0.112   0.204   0.429   0.179   0.017
  -1.600    0.049   0.100   0.194   0.440   0.196   0.020
  -1.500    0.041   0.088   0.185   0.448   0.215   0.024
  -1.400    0.033   0.077   0.174   0.454   0.234   0.028
  -1.300    0.027   0.068   0.163   0.457   0.253   0.032
  -1.200    0.022   0.059   0.152   0.458   0.272   0.038
  -1.100    0.018   0.051   0.141   0.456   0.291   0.044
  -1.000    0.014   0.044   0.130   0.452   0.310   0.050
  -0.900    0.011   0.037   0.120   0.446   0.328   0.058
  -0.800    0.009   0.032   0.110   0.437   0.346   0.066
  -0.700    0.007   0.027   0.100   0.427   0.364   0.075
  -0.600    0.006   0.023   0.090   0.416   0.380   0.085
  -0.500    0.004   0.019   0.082   0.403   0.396   0.096
  -0.400    0.003   0.016   0.073   0.388   0.411   0.109
  -0.300    0.003   0.013   0.065   0.373   0.424   0.122
  -0.200    0.002   0.011   0.058   0.356   0.437   0.136
  -0.100    0.002   0.009   0.052   0.339   0.448   0.151
   0.000    0.001   0.007   0.045   0.321   0.457   0.168
   0.100    0.001   0.006   0.040   0.303   0.465   0.185
   0.200    0.001   0.005   0.035   0.284   0.472   0.204
   0.300    0.001   0.004   0.030   0.265   0.477   0.223
   0.400    0.000   0.003   0.026   0.247   0.481   0.243
   0.500    0.000   0.003   0.022   0.229   0.483   0.264
   0.600    0.000   0.002   0.019   0.211   0.483   0.284
   0.700    0.000   0.002   0.016   0.194   0.483   0.305
   0.800    0.000   0.001   0.014   0.177   0.481   0.326
   0.900    0.000   0.001   0.012   0.162   0.479   0.346
   1.000    0.000   0.001   0.010   0.148   0.476   0.365
   1.100    0.000   0.001   0.008   0.136   0.472   0.383
   1.200    0.000   0.000   0.007   0.125   0.469   0.398
   1.300    0.000   0.000   0.006   0.116   0.466   0.412
   1.400    0.000   0.000   0.005   0.109   0.463   0.422
   1.500    0.000   0.000   0.005   0.104   0.461   0.429
   1.600    0.000   0.000   0.004   0.102   0.460   0.433
   1.700    0.000   0.000   0.004   0.101   0.460   0.434
   1.800    0.000   0.000   0.005   0.103   0.461   0.431
   1.900    0.000   0.000   0.005   0.107   0.462   0.425
   2.000    0.000   0.000   0.006   0.113   0.465   0.416
   2.100    0.000   0.000   0.007   0.122   0.468   0.404
   2.200    0.000   0.001   0.008   0.132   0.471   0.389
   2.300    0.000   0.001   0.009   0.143   0.474   0.372
   2.400    0.000   0.001   0.011   0.157   0.478   0.354
   2.500    0.000   0.001   0.013   0.171   0.480   0.334
   2.600    0.000   0.001   0.015   0.187   0.482   0.314
   2.700    0.000   0.002   0.018   0.204   0.483   0.293
   2.800    0.000   0.002   0.021   0.222   0.483   0.272
   2.900    0.000   0.003   0.025   0.240   0.482   0.251
   3.000    0.000   0.004   0.029   0.258   0.479   0.231
   3.100    0.001   0.005   0.033   0.277   0.474   0.211
   3.200    0.001   0.006   0.038   0.295   0.468   0.192
   3.300    0.001   0.007   0.043   0.314   0.461   0.174
   3.400    0.001   0.008   0.049   0.332   0.452   0.157
   3.500    0.002   0.010   0.056   0.350   0.441   0.142
   3.600    0.002   0.012   0.063   0.366   0.429   0.127
   3.700    0.003   0.015   0.070   0.382   0.416   0.113
   3.800    0.004   0.018   0.078   0.397   0.402   0.101
   3.900    0.005   0.021   0.087   0.411   0.386   0.089
   4.000    0.006   0.025   0.096   0.423   0.370   0.079
