 1   53    0.000   -1.508    1.774    1.859    1.131    0.000    2.169    1.548
 2   53    0.000   -1.117    2.472    2.396    1.119    0.000    2.703    2.088
 3   53    0.000   -0.884    2.642    2.694    1.059    0.000    2.985    2.403
 4   53    0.000   -0.670    3.000    2.939    0.998    0.000    3.213    2.665
 5   52    0.000   -0.507    2.769    3.108    0.952    0.000    3.372    2.843
 6   52    0.000   -0.381    3.212    3.228    0.920    0.000    3.483    2.973
 7   52    0.000   -0.240    3.269    3.354    0.887    0.000    3.600    3.108
 8   52    0.000   -0.088    3.519    3.481    0.855    0.000    3.718    3.244
 9   52    0.000    0.051    3.385    3.591    0.830    0.000    3.821    3.361
10   52    0.000    0.190    3.712    3.696    0.807    0.000    3.920    3.473
11   52    0.000    0.348    3.846    3.811    0.783    0.000    4.028    3.594
12   52    0.000    0.547    3.962    3.949    0.755    0.000    4.158    3.740
13   52    0.000    0.876    4.327    4.155    0.705    0.000    4.351    3.960
14   52    0.000    1.330    4.404    4.350    0.639    0.000    4.527    4.172
15   52    0.000    2.142    4.058    4.150    0.697    0.000    4.343    3.956
