  -4.000    0.908   0.083   0.009   0.000   0.000   0.000
  -3.900    0.897   0.091   0.011   0.000   0.000   0.000
  -3.800    0.885   0.101   0.013   0.001   0.000   0.000
  -3.700    0.871   0.111   0.016   0.001   0.000   0.000
  -3.600    0.856   0.123   0.020   0.001   0.000   0.000
  -3.500    0.839   0.135   0.025   0.002   0.000   0.000
  -3.400    0.820   0.147   0.031   0.002   0.000   0.000
  -3.300    0.798   0.161   0.037   0.003   0.000   0.000
  -3.200    0.775   0.175   0.046   0.005   0.000   0.000
  -3.100    0.749   0.189   0.055   0.006   0.000   0.000
  -3.000    0.720   0.204   0.067   0.009   0.000   0.000
  -2.900    0.689   0.219   0.080   0.012   0.000   0.000
  -2.800    0.655   0.233   0.096   0.015   0.001   0.000
  -2.700    0.619   0.247   0.113   0.021   0.001   0.000
  -2.600    0.579   0.259   0.133   0.027   0.001   0.000
  -2.500    0.538   0.269   0.156   0.035   0.002   0.000
  -2.400    0.495   0.277   0.180   0.046   0.002   0.000
  -2.300    0.450   0.283   0.205   0.059   0.004   0.000
  -2.200    0.404   0.285   0.232   0.074   0.005   0.000
  -2.100    0.359   0.283   0.258   0.093   0.007   0.000
  -2.000    0.314   0.278   0.284   0.114   0.010   0.000
  -1.900    0.271   0.269   0.308   0.139   0.013   0.000
  -1.800    0.231   0.256   0.329   0.166   0.018   0.000
  -1.700    0.194   0.241   0.346   0.196   0.024   0.001
  -1.600    0.160   0.223   0.359   0.227   0.031   0.001
  -1.500    0.130   0.203   0.366   0.260   0.039   0.001
  -1.400    0.104   0.182   0.369   0.293   0.050   0.002
  -1.300    0.082   0.161   0.366   0.326   0.062   0.003
  -1.200    0.064   0.141   0.358   0.357   0.076   0.004
  -1.100    0.049   0.122   0.345   0.387   0.092   0.005
  -1.000    0.037   0.103   0.329   0.413   0.111   0.006
  -0.900    0.028   0.087   0.310   0.436   0.131   0.009
  -0.800    0.021   0.072   0.288   0.454   0.153   0.011
  -0.700    0.015   0.059   0.266   0.469   0.177   0.015
  -0.600    0.011   0.048   0.242   0.478   0.202   0.019
  -0.500    0.008   0.039   0.218   0.483   0.229   0.024
  -0.400    0.006   0.031   0.194   0.483   0.256   0.030
  -0.300    0.004   0.024   0.172   0.478   0.284   0.038
  -0.200    0.003   0.019   0.150   0.468   0.312   0.047
  -0.100    0.002   0.015   0.130   0.455   0.340   0.058
   0.000    0.001   0.011   0.112   0.438   0.367   0.071
   0.100    0.001   0.009   0.095   0.418   0.392   0.086
   0.200    0.001   0.006   0.080   0.394   0.415   0.103
   0.300    0.000   0.005   0.067   0.369   0.436   0.123
   0.400    0.000   0.004   0.055   0.342   0.453   0.145
   0.500    0.000   0.003   0.045   0.314   0.467   0.170
   0.600    0.000   0.002   0.037   0.286   0.477   0.198
   0.700    0.000   0.001   0.030   0.258   0.483   0.228
   0.800    0.000   0.001   0.024   0.230   0.485   0.261
   0.900    0.000   0.001   0.019   0.203   0.482   0.296
   1.000    0.000   0.000   0.014   0.177   0.475   0.333
   1.100    0.000   0.000   0.011   0.153   0.465   0.371
   1.200    0.000   0.000   0.008   0.131   0.451   0.409
   1.300    0.000   0.000   0.006   0.111   0.436   0.447
   1.400    0.000   0.000   0.005   0.093   0.419   0.483
   1.500    0.000   0.000   0.003   0.078   0.402   0.517
   1.600    0.000   0.000   0.003   0.066   0.386   0.546
   1.700    0.000   0.000   0.002   0.056   0.371   0.571
   1.800    0.000   0.000   0.001   0.049   0.360   0.590
   1.900    0.000   0.000   0.001   0.044   0.353   0.601
   2.000    0.000   0.000   0.001   0.043   0.351   0.606
   2.100    0.000   0.000   0.001   0.044   0.352   0.603
   2.200    0.000   0.000   0.001   0.048   0.359   0.592
   2.300    0.000   0.000   0.002   0.054   0.369   0.574
   2.400    0.000   0.000   0.002   0.064   0.383   0.551
   2.500    0.000   0.000   0.003   0.076   0.399   0.522
   2.600    0.000   0.000   0.005   0.091   0.416   0.489
   2.700    0.000   0.000   0.006   0.108   0.433   0.453
   2.800    0.000   0.000   0.008   0.127   0.449   0.415
   2.900    0.000   0.000   0.011   0.149   0.463   0.377
   3.000    0.000   0.000   0.014   0.173   0.474   0.339
   3.100    0.000   0.001   0.018   0.198   0.481   0.302
   3.200    0.000   0.001   0.023   0.225   0.485   0.267
   3.300    0.000   0.001   0.029   0.253   0.484   0.234
   3.400    0.000   0.002   0.036   0.281   0.479   0.203
   3.500    0.000   0.002   0.044   0.310   0.469   0.175
   3.600    0.000   0.003   0.054   0.338   0.456   0.149
   3.700    0.000   0.005   0.065   0.365   0.439   0.126
   3.800    0.001   0.006   0.078   0.390   0.419   0.106
   3.900    0.001   0.008   0.093   0.414   0.396   0.089
   4.000    0.001   0.011   0.109   0.435   0.371   0.073
