  -4.000    0.000   0.001   0.012   0.064   0.284   0.638
  -3.900    0.000   0.002   0.014   0.069   0.287   0.628
  -3.800    0.000   0.002   0.016   0.074   0.292   0.615
  -3.700    0.000   0.003   0.019   0.081   0.297   0.600
  -3.600    0.000   0.003   0.023   0.089   0.302   0.583
  -3.500    0.000   0.004   0.027   0.097   0.308   0.563
  -3.400    0.000   0.005   0.032   0.107   0.314   0.542
  -3.300    0.000   0.007   0.037   0.118   0.319   0.518
  -3.200    0.000   0.009   0.044   0.129   0.324   0.493
  -3.100    0.001   0.011   0.052   0.141   0.329   0.467
  -3.000    0.001   0.014   0.060   0.153   0.332   0.440
  -2.900    0.001   0.017   0.070   0.166   0.334   0.413
  -2.800    0.001   0.021   0.080   0.179   0.334   0.385
  -2.700    0.002   0.025   0.092   0.191   0.333   0.357
  -2.600    0.002   0.030   0.104   0.204   0.330   0.329
  -2.500    0.003   0.037   0.118   0.216   0.326   0.301
  -2.400    0.004   0.044   0.132   0.226   0.320   0.274
  -2.300    0.004   0.052   0.147   0.236   0.312   0.248
  -2.200    0.006   0.062   0.163   0.245   0.302   0.223
  -2.100    0.007   0.072   0.179   0.252   0.291   0.199
  -2.000    0.009   0.084   0.195   0.258   0.278   0.177
  -1.900    0.011   0.097   0.211   0.261   0.264   0.156
  -1.800    0.013   0.111   0.227   0.263   0.249   0.136
  -1.700    0.016   0.126   0.243   0.263   0.233   0.119
  -1.600    0.019   0.143   0.257   0.262   0.217   0.103
  -1.500    0.023   0.160   0.270   0.258   0.200   0.088
  -1.400    0.028   0.179   0.282   0.253   0.183   0.075
  -1.300    0.032   0.198   0.293   0.246   0.167   0.064
  -1.200    0.038   0.218   0.302   0.237   0.151   0.054
  -1.100    0.044   0.238   0.309   0.228   0.136   0.045
  -1.000    0.051   0.258   0.314   0.217   0.122   0.037
  -0.900    0.059   0.278   0.318   0.206   0.108   0.031
  -0.800    0.068   0.298   0.320   0.194   0.095   0.025
  -0.700    0.077   0.318   0.319   0.182   0.084   0.021
  -0.600    0.087   0.337   0.317   0.169   0.073   0.017
  -0.500    0.098   0.355   0.313   0.157   0.063   0.014
  -0.400    0.109   0.372   0.308   0.144   0.055   0.011
  -0.300    0.122   0.389   0.301   0.132   0.047   0.009
  -0.200    0.135   0.404   0.293   0.121   0.040   0.007
  -0.100    0.149   0.417   0.284   0.110   0.034   0.006
   0.000    0.163   0.429   0.274   0.099   0.029   0.004
   0.100    0.179   0.440   0.264   0.089   0.025   0.004
   0.200    0.194   0.449   0.252   0.080   0.021   0.003
   0.300    0.211   0.457   0.241   0.072   0.017   0.002
   0.400    0.228   0.463   0.229   0.064   0.014   0.002
   0.500    0.246   0.468   0.216   0.057   0.012   0.001
   0.600    0.264   0.471   0.204   0.050   0.010   0.001
   0.700    0.282   0.472   0.192   0.044   0.008   0.001
   0.800    0.301   0.472   0.180   0.039   0.007   0.001
   0.900    0.320   0.471   0.168   0.034   0.006   0.000
   1.000    0.340   0.469   0.157   0.030   0.005   0.000
   1.100    0.360   0.465   0.146   0.026   0.004   0.000
   1.200    0.379   0.460   0.135   0.023   0.003   0.000
   1.300    0.399   0.453   0.125   0.020   0.002   0.000
   1.400    0.419   0.446   0.115   0.017   0.002   0.000
   1.500    0.439   0.438   0.106   0.015   0.002   0.000
   1.600    0.459   0.429   0.098   0.013   0.001   0.000
   1.700    0.479   0.420   0.089   0.011   0.001   0.000
   1.800    0.498   0.410   0.082   0.009   0.001   0.000
   1.900    0.518   0.399   0.075   0.008   0.001   0.000
   2.000    0.537   0.388   0.068   0.007   0.001   0.000
   2.100    0.556   0.376   0.062   0.006   0.000   0.000
   2.200    0.574   0.364   0.056   0.005   0.000   0.000
   2.300    0.592   0.352   0.051   0.004   0.000   0.000
   2.400    0.610   0.340   0.046   0.004   0.000   0.000
   2.500    0.627   0.328   0.042   0.003   0.000   0.000
   2.600    0.644   0.316   0.038   0.003   0.000   0.000
   2.700    0.661   0.303   0.034   0.002   0.000   0.000
   2.800    0.676   0.291   0.030   0.002   0.000   0.000
   2.900    0.692   0.279   0.027   0.002   0.000   0.000
   3.000    0.707   0.267   0.025   0.001   0.000   0.000
   3.100    0.721   0.256   0.022   0.001   0.000   0.000
   3.200    0.735   0.244   0.020   0.001   0.000   0.000
   3.300    0.748   0.233   0.018   0.001   0.000   0.000
   3.400    0.761   0.222   0.016   0.001   0.000   0.000
   3.500    0.774   0.212   0.014   0.001   0.000   0.000
   3.600    0.785   0.202   0.013   0.000   0.000   0.000
   3.700    0.797   0.192   0.011   0.000   0.000   0.000
   3.800    0.808   0.182   0.010   0.000   0.000   0.000
   3.900    0.818   0.173   0.009   0.000   0.000   0.000
   4.000    0.828   0.164   0.008   0.000   0.000   0.000
