  -4.000    1.644
  -3.900    1.688
  -3.800    1.732
  -3.700    1.776
  -3.600    1.822
  -3.500    1.868
  -3.400    1.914
  -3.300    1.962
  -3.200    2.009
  -3.100    2.058
  -3.000    2.106
  -2.900    2.155
  -2.800    2.205
  -2.700    2.254
  -2.600    2.303
  -2.500    2.353
  -2.400    2.401
  -2.300    2.449
  -2.200    2.497
  -2.100    2.543
  -2.000    2.588
  -1.900    2.630
  -1.800    2.671
  -1.700    2.709
  -1.600    2.744
  -1.500    2.776
  -1.400    2.804
  -1.300    2.828
  -1.200    2.848
  -1.100    2.862
  -1.000    2.872
  -0.900    2.877
  -0.800    2.876
  -0.700    2.870
  -0.600    2.859
  -0.500    2.844
  -0.400    2.823
  -0.300    2.798
  -0.200    2.769
  -0.100    2.737
   0.000    2.701
   0.100    2.662
   0.200    2.621
   0.300    2.577
   0.400    2.532
   0.500    2.486
   0.600    2.438
   0.700    2.390
   0.800    2.341
   0.900    2.292
   1.000    2.243
   1.100    2.193
   1.200    2.144
   1.300    2.095
   1.400    2.046
   1.500    1.998
   1.600    1.951
   1.700    1.903
   1.800    1.857
   1.900    1.811
   2.000    1.766
   2.100    1.721
   2.200    1.678
   2.300    1.635
   2.400    1.592
   2.500    1.551
   2.600    1.510
   2.700    1.470
   2.800    1.431
   2.900    1.392
   3.000    1.354
   3.100    1.318
   3.200    1.281
   3.300    1.246
   3.400    1.212
   3.500    1.178
   3.600    1.145
   3.700    1.113
   3.800    1.081
   3.900    1.051
   4.000    1.021
