   -4.286805     2.700000     2.642092
   -3.830094     2.781818     3.015240
   -3.618592     2.950000     3.084963
   -3.463020     2.890909     2.986192
   -3.326830     2.995455     3.127951
   -3.206043     2.936364     3.038629
   -3.105215     3.104545     3.145607
   -3.014148     3.159091     3.118638
   -2.937707     3.045455     3.098758
   -2.872013     3.090909     3.087215
   -2.812543     2.977273     3.030037
   -2.752487     2.940909     3.012521
   -2.688493     3.081818     3.060788
   -2.631374     3.031818     3.100005
   -2.576204     3.050000     3.047671
   -2.524501     3.113636     3.125865
   -2.472039     3.159091     3.049564
   -2.424793     2.972727     3.157581
   -2.370285     3.072727     3.123148
   -2.319739     3.213636     3.204732
   -2.269338     3.118182     3.179657
   -2.218440     3.181818     3.148298
   -2.173360     3.140909     3.231534
   -2.130624     3.181818     3.177978
   -2.088444     3.177273     3.279595
   -2.043756     3.190909     3.225739
   -1.995011     3.231818     3.240418
   -1.952017     3.336364     3.285408
   -1.905924     3.304545     3.322487
   -1.860700     3.209091     3.274945
   -1.812077     3.327273     3.284710
   -1.765004     3.195455     3.235658
   -1.723474     3.359091     3.319961
   -1.678045     3.318182     3.341141
   -1.633590     3.354545     3.392220
   -1.587125     3.422727     3.394520
   -1.541845     3.531818     3.438878
   -1.497583     3.495455     3.506415
   -1.450632     3.372727     3.440977
   -1.403838     3.509091     3.465672
   -1.356259     3.536364     3.534828
   -1.306582     3.677273     3.538957
   -1.258080     3.490909     3.559255
   -1.207630     3.477273     3.518617
   -1.155853     3.650000     3.558957
   -1.104556     3.500000     3.546323
   -1.051351     3.536364     3.524811
   -0.995092     3.677273     3.652681
   -0.938201     3.450000     3.508369
   -0.878162     3.531818     3.493587
   -0.820621     3.604545     3.516792
   -0.753028     3.545455     3.515227
   -0.685271     3.616438     3.571233
   -0.615876     3.579909     3.576042
   -0.547530     3.410959     3.478422
   -0.483325     3.602740     3.522973
   -0.415010     3.374429     3.476371
   -0.346984     3.410959     3.454159
   -0.270343     3.493151     3.482988
   -0.198050     3.630137     3.522659
   -0.126158     3.488584     3.437258
   -0.055750     3.497717     3.527391
    0.012465     3.452055     3.419303
    0.084349     3.392694     3.438071
    0.162873     3.319635     3.343074
    0.242729     3.273973     3.371215
    0.322906     3.319635     3.246376
    0.405582     3.315068     3.212507
    0.493823     3.315068     3.132721
    0.592820     3.127854     3.032096
    0.693442     3.105023     3.049281
    0.805425     2.936073     2.949883
    0.932349     2.949772     2.864553
    1.069967     2.666667     2.867448
    1.220564     2.762557     2.796263
    1.395125     2.689498     2.721539
    1.605332     2.579909     2.645244
    1.837444     2.401826     2.573640
    2.061356     2.493151     2.506725
    2.318450     2.602740     2.475268
    2.580955     2.497717     2.483185
    2.817124     2.283105     2.438649
    3.033394     2.210046     2.359137
    3.210184     2.196347     2.313851
    3.356879     2.200913     2.158101
    3.498653     2.095890     2.111407
    3.629281     1.981735     2.042021
    3.758990     1.958904     1.900221
    3.883589     1.922374     1.868446
    3.993127     2.027397     1.824785
    4.102596     1.876712     1.791539
    4.215369     1.767123     1.711249
    4.342190     1.721461     1.614798
    4.471505     1.684932     1.614148
    4.614953     1.438356     1.529856
    4.789423     1.474886     1.461504
    5.000214     1.273973     1.366856
    5.308520     1.022831     1.135263
    5.707045     0.849315     1.035454
    6.542345     0.716895     0.827136
